student_id,session,semester,semester_gpa,credits_attempted,credits_earned
STD0006,2020/2021,2,5.0,8.0,8.0
STD0006,2021/2022,1,4.25,8.0,8.0
STD0006,2021/2022,2,4.75,8.0,8.0
STD0006,2022/2023,1,4.25,8.0,8.0
STD0006,2022/2023,2,4.714285714285714,7.0,7.0
STD0007,2017/2018,1,3.0,5.0,3.0
STD0007,2017/2018,2,4.1,10.0,10.0
STD0007,2018/2019,1,3.5,8.0,8.0
STD0007,2018/2019,2,4.666666666666667,6.0,6.0
STD0007,2019/2020,1,3.4545454545454546,11.0,11.0
STD0007,2019/2020,2,3.5,4.0,4.0
STD0007,2020/2021,1,4.0,11.0,11.0
STD0007,2020/2021,2,5.0,4.0,4.0
STD0007,2021/2022,1,4.4,5.0,5.0
STD0007,2021/2022,2,5.0,11.0,11.0
STD0007,2022/2023,1,4.0,7.0,7.0
STD0007,2022/2023,2,2.125,8.0,5.0
STD0008,2020/2021,1,1.125,8.0,3.0
STD0008,2020/2021,2,3.2857142857142856,7.0,7.0
STD0008,2021/2022,1,0.0,6.0,0.0
STD0008,2021/2022,2,3.5555555555555554,9.0,9.0
STD0008,2022/2023,1,0.5,8.0,2.0
STD0008,2022/2023,2,2.142857142857143,7.0,5.0
STD0009,2020/2021,1,3.75,8.0,8.0
STD0009,2020/2021,2,4.714285714285714,7.0,7.0
STD0009,2021/2022,1,3.727272727272727,11.0,11.0
STD0009,2021/2022,2,4.5,6.0,6.0
STD0009,2022/2023,1,4.0,6.0,6.0
STD0009,2022/2023,2,3.75,8.0,8.0
STD0010,2017/2018,1,1.0,6.0,3.0
STD0010,2017/2018,2,3.7,10.0,10.0
STD0010,2018/2019,1,1.5,10.0,5.0
STD0010,2018/2019,2,2.4,5.0,5.0
STD0010,2019/2020,1,1.6363636363636365,11.0,5.0
STD0010,2019/2020,2,4.4,5.0,5.0
STD0010,2020/2021,1,2.25,8.0,6.0
STD0010,2020/2021,2,4.25,8.0,8.0
STD0010,2021/2022,1,3.5,10.0,10.0
STD0010,2021/2022,2,2.5,4.0,2.0
STD0010,2022/2023,1,3.6666666666666665,9.0,9.0
STD0010,2022/2023,2,3.0,6.0,6.0
STD0011,2020/2021,1,1.125,8.0,3.0
STD0011,2020/2021,2,2.2857142857142856,7.0,4.0
STD0011,2021/2022,1,1.2,5.0,2.0
STD0011,2021/2022,2,3.2,10.0,8.0
STD0011,2022/2023,1,2.3333333333333335,9.0,6.0
STD0011,2022/2023,2,2.3333333333333335,6.0,4.0
STD0012,2019/2020,1,2.6,5.0,5.0
STD0012,2019/2020,2,4.0,10.0,10.0
STD0012,2020/2021,1,1.4545454545454546,11.0,5.0
STD0012,2020/2021,2,4.0,4.0,4.0
STD0012,2021/2022,1,2.727272727272727,11.0,11.0
STD0012,2021/2022,2,3.0,4.0,4.0
STD0012,2022/2023,1,3.142857142857143,7.0,5.0
STD0012,2022/2023,2,3.3333333333333335,6.0,6.0
STD0013,2018/2019,1,0.75,8.0,3.0
STD0013,2018/2019,2,1.7142857142857142,7.0,4.0
STD0013,2019/2020,1,0.36363636363636365,11.0,2.0
STD0013,2019/2020,2,0.0,5.0,0.0
STD0013,2020/2021,1,0.6,10.0,3.0
STD0013,2020/2021,2,0.0,5.0,0.0
STD0013,2021/2022,1,0.6666666666666666,9.0,3.0
STD0013,2021/2022,2,1.7142857142857142,7.0,5.0
STD0013,2022/2023,1,0.0,8.0,0.0
STD0013,2022/2023,2,0.5714285714285714,7.0,2.0
STD0014,2017/2018,1,0.0,6.0,0.0
STD0014,2017/2018,2,1.2,10.0,5.0
STD0014,2018/2019,1,0.0,12.0,0.0
STD0014,2018/2019,2,1.8,5.0,3.0
STD0014,2019/2020,1,1.1428571428571428,7.0,4.0
STD0014,2019/2020,2,3.3333333333333335,6.0,6.0
STD0014,2020/2021,1,0.8,5.0,2.0
STD0014,2020/2021,2,0.8,10.0,2.0
STD0014,2021/2022,1,0.0,5.0,0.0
STD0014,2021/2022,2,1.5,10.0,5.0
STD0014,2022/2023,1,0.5714285714285714,7.0,2.0
STD0014,2022/2023,2,1.1428571428571428,7.0,2.0
STD0015,2020/2021,1,1.5,6.0,3.0
STD0015,2020/2021,2,2.5,10.0,7.0
STD0015,2021/2022,1,1.125,8.0,3.0
STD0015,2021/2022,2,3.0,7.0,7.0
STD0015,2022/2023,1,2.4,10.0,7.0
STD0015,2022/2023,2,1.8,5.0,3.0
STD0016,2019/2020,1,0.0,8.0,0.0
STD0016,2019/2020,2,2.75,8.0,8.0
STD0016,2020/2021,1,1.3333333333333333,9.0,3.0
STD0016,2020/2021,2,2.857142857142857,7.0,7.0
STD0016,2021/2022,1,1.4285714285714286,7.0,5.0
STD0016,2021/2022,2,1.2857142857142858,7.0,3.0
STD0016,2022/2023,1,2.6,5.0,5.0
STD0016,2022/2023,2,2.3333333333333335,9.0,7.0
STD0017,2019/2020,1,2.4,5.0,5.0
STD0017,2019/2020,2,3.8,10.0,10.0
STD0017,2020/2021,1,2.230769230769231,13.0,10.0
STD0017,2020/2021,2,3.0,2.0,2.0
STD0017,2021/2022,1,3.4,5.0,5.0
STD0017,2021/2022,2,3.6666666666666665,9.0,9.0
STD0017,2022/2023,1,4.0,8.0,8.0
STD0017,2022/2023,2,4.625,8.0,8.0
STD0018,2020/2021,1,2.25,8.0,6.0
STD0018,2020/2021,2,1.7142857142857142,7.0,4.0
STD0018,2021/2022,1,1.2857142857142858,7.0,3.0
STD0018,2021/2022,2,1.7142857142857142,7.0,4.0
STD0018,2022/2023,1,2.727272727272727,11.0,9.0
STD0018,2022/2023,2,3.0,6.0,6.0
STD0019,2020/2021,1,1.8,5.0,3.0
STD0019,2020/2021,2,1.7,10.0,5.0
STD0019,2021/2022,1,1.1538461538461537,13.0,5.0
STD0019,2021/2022,2,3.0,2.0,2.0
STD0019,2022/2023,1,0.7692307692307693,13.0,5.0
STD0019,2022/2023,2,2.0,2.0,2.0
STD0020,2019/2020,1,4.5,6.0,6.0
STD0020,2019/2020,2,4.5,10.0,10.0
STD0020,2020/2021,1,4.8,10.0,10.0
STD0020,2020/2021,2,4.6,5.0,5.0
STD0020,2021/2022,1,3.0,5.0,3.0
STD0020,2021/2022,2,4.777777777777778,9.0,9.0
STD0020,2022/2023,1,5.0,8.0,8.0
STD0020,2022/2023,2,4.625,8.0,8.0
STD0021,2018/2019,1,2.0,5.0,5.0
STD0021,2018/2019,2,3.5,10.0,10.0
STD0021,2019/2020,1,2.7142857142857144,14.0,11.0
STD0021,2019/2020,2,4.0,2.0,2.0
STD0021,2020/2021,1,2.5,16.0,11.0
STD0021,2021/2022,1,1.875,8.0,5.0
STD0021,2021/2022,2,3.857142857142857,7.0,7.0
STD0021,2022/2023,1,0.5714285714285714,7.0,2.0
STD0021,2022/2023,2,4.142857142857143,7.0,7.0
STD0022,2017/2018,1,3.0,6.0,6.0
STD0022,2017/2018,2,4.0,10.0,10.0
STD0022,2018/2019,1,3.076923076923077,13.0,11.0
STD0022,2018/2019,2,4.0,3.0,3.0
STD0022,2019/2020,1,5.0,2.0,2.0
STD0022,2019/2020,2,1.7272727272727273,11.0,7.0
STD0022,2020/2021,1,2.4,10.0,7.0
STD0022,2020/2021,2,4.6,5.0,5.0
STD0022,2021/2022,1,0.0,3.0,0.0
STD0022,2021/2022,2,4.333333333333333,12.0,12.0
STD0022,2022/2023,1,3.4,5.0,5.0
STD0022,2022/2023,2,2.8,10.0,8.0
STD0023,2019/2020,1,1.0,6.0,3.0
STD0023,2019/2020,2,2.2,10.0,5.0
STD0023,2020/2021,1,2.0,14.0,8.0
STD0023,2020/2021,2,2.0,2.0,2.0
STD0023,2021/2022,1,1.1538461538461537,13.0,6.0
STD0023,2021/2022,2,3.0,2.0,2.0
STD0023,2022/2023,1,2.375,8.0,8.0
STD0023,2022/2023,2,1.625,8.0,5.0
STD0024,2018/2019,1,2.625,8.0,8.0
STD0024,2018/2019,2,2.0,7.0,4.0
STD0024,2019/2020,1,0.8571428571428571,7.0,2.0
STD0024,2019/2020,2,2.375,8.0,5.0
STD0024,2020/2021,1,1.125,8.0,3.0
STD0024,2020/2021,2,2.4285714285714284,7.0,5.0
STD0024,2021/2022,1,2.4285714285714284,7.0,5.0
STD0024,2021/2022,2,1.5,8.0,5.0
STD0024,2022/2023,1,3.4,5.0,5.0
STD0024,2022/2023,2,2.5,10.0,10.0
STD0025,2020/2021,1,3.0,8.0,6.0
STD0025,2020/2021,2,3.875,8.0,8.0
STD0025,2021/2022,1,3.0,5.0,5.0
STD0025,2021/2022,2,3.4444444444444446,9.0,7.0
STD0025,2022/2023,1,3.1,10.0,7.0
STD0025,2022/2023,2,2.5,4.0,2.0
STD0026,2020/2021,1,0.0,5.0,0.0
STD0026,2020/2021,2,2.5,10.0,8.0
STD0026,2021/2022,1,2.1,10.0,7.0
STD0026,2021/2022,2,2.5,4.0,2.0
STD0026,2022/2023,1,1.4615384615384615,13.0,7.0
STD0026,2022/2023,2,3.0,3.0,3.0
STD0027,2018/2019,1,3.0,5.0,5.0
STD0027,2018/2019,2,4.3,10.0,10.0
STD0027,2019/2020,1,3.4545454545454546,11.0,11.0
STD0027,2019/2020,2,4.0,6.0,6.0
STD0027,2020/2021,1,3.1,10.0,10.0
STD0027,2020/2021,2,2.5,4.0,4.0
STD0027,2021/2022,1,2.6923076923076925,13.0,10.0
STD0027,2021/2022,2,4.0,2.0,2.0
STD0027,2022/2023,1,3.0,5.0,5.0
STD0027,2022/2023,2,3.9,10.0,10.0
STD0028,2019/2020,1,1.2,5.0,3.0
STD0028,2019/2020,2,3.7,10.0,10.0
STD0028,2020/2021,1,1.4285714285714286,7.0,4.0
STD0028,2020/2021,2,1.3333333333333333,6.0,2.0
STD0028,2021/2022,1,3.888888888888889,9.0,9.0
STD0028,2021/2022,2,2.4,5.0,5.0
STD0028,2022/2023,1,2.142857142857143,7.0,5.0
STD0028,2022/2023,2,3.7142857142857144,7.0,7.0
STD0029,2019/2020,1,3.0,6.0,6.0
STD0029,2019/2020,2,3.6,10.0,10.0
STD0029,2020/2021,1,1.9,10.0,7.0
STD0029,2020/2021,2,1.6,5.0,2.0
STD0029,2021/2022,1,2.4545454545454546,11.0,8.0
STD0029,2021/2022,2,1.8,5.0,3.0
STD0029,2022/2023,1,3.0,13.0,11.0
STD0029,2022/2023,2,4.0,3.0,3.0
STD0030,2018/2019,1,2.25,8.0,6.0
STD0030,2018/2019,2,4.0,7.0,7.0
STD0030,2019/2020,1,4.25,8.0,8.0
STD0030,2019/2020,2,3.142857142857143,7.0,7.0
STD0030,2020/2021,1,2.1,10.0,8.0
STD0030,2020/2021,2,3.0,5.0,5.0
STD0030,2021/2022,1,2.2,10.0,8.0
STD0030,2021/2022,2,2.5,4.0,4.0
STD0030,2022/2023,1,2.625,8.0,6.0
STD0030,2022/2023,2,3.0,6.0,6.0
STD0031,2018/2019,1,4.2,5.0,5.0
STD0031,2018/2019,2,5.0,10.0,10.0
STD0031,2019/2020,1,3.7857142857142856,14.0,14.0
STD0031,2019/2020,2,5.0,2.0,2.0
STD0031,2020/2021,1,4.583333333333333,12.0,12.0
STD0031,2020/2021,2,5.0,3.0,3.0
STD0031,2021/2022,1,4.666666666666667,9.0,9.0
STD0031,2021/2022,2,4.285714285714286,7.0,7.0
STD0031,2022/2023,1,4.714285714285714,7.0,7.0
STD0031,2022/2023,2,4.375,8.0,8.0
STD0032,2020/2021,1,3.0,8.0,8.0
STD0032,2020/2021,2,3.5714285714285716,7.0,7.0
STD0032,2021/2022,1,3.909090909090909,11.0,11.0
STD0032,2021/2022,2,4.0,4.0,4.0
STD0032,2022/2023,1,2.3,10.0,7.0
STD0032,2022/2023,2,4.0,4.0,4.0
STD0033,2018/2019,1,2.25,8.0,6.0
STD0033,2018/2019,2,1.25,8.0,5.0
STD0033,2019/2020,1,0.0,11.0,0.0
STD0033,2019/2020,2,2.0,6.0,6.0
STD0033,2020/2021,1,2.0,9.0,6.0
STD0033,2020/2021,2,3.0,6.0,6.0
STD0033,2021/2022,1,3.0,2.0,2.0
STD0033,2021/2022,2,3.25,12.0,12.0
STD0033,2022/2023,1,0.0,7.0,0.0
STD0033,2022/2023,2,2.3333333333333335,9.0,9.0
STD0034,2017/2018,1,4.0,6.0,6.0
STD0034,2017/2018,2,4.6,10.0,10.0
STD0034,2018/2019,1,3.1818181818181817,11.0,11.0
STD0034,2018/2019,2,5.0,5.0,5.0
STD0034,2019/2020,1,4.6,10.0,10.0
STD0034,2019/2020,2,4.0,6.0,6.0
STD0034,2020/2021,1,4.375,8.0,8.0
STD0034,2020/2021,2,4.333333333333333,6.0,6.0
STD0034,2021/2022,1,4.0,7.0,7.0
STD0034,2021/2022,2,4.428571428571429,7.0,7.0
STD0034,2022/2023,1,3.5454545454545454,11.0,11.0
STD0034,2022/2023,2,3.8,5.0,5.0
STD0035,2017/2018,1,0.0,5.0,0.0
STD0035,2017/2018,2,1.7,10.0,5.0
STD0035,2018/2019,1,0.8,5.0,2.0
STD0035,2018/2019,2,2.4444444444444446,9.0,7.0
STD0035,2019/2020,1,2.5454545454545454,11.0,11.0
STD0035,2019/2020,2,0.8,5.0,2.0
STD0035,2020/2021,1,2.25,8.0,6.0
STD0035,2020/2021,2,2.75,8.0,8.0
STD0035,2021/2022,1,1.5454545454545454,11.0,5.0
STD0035,2021/2022,2,0.0,6.0,0.0
STD0035,2022/2023,1,2.0,6.0,3.0
STD0035,2022/2023,2,2.2222222222222223,9.0,6.0
STD0036,2020/2021,1,3.0,8.0,8.0
STD0036,2020/2021,2,4.142857142857143,7.0,7.0
STD0036,2021/2022,1,2.1,10.0,8.0
STD0036,2021/2022,2,5.0,4.0,4.0
STD0036,2022/2023,1,4.0,7.0,7.0
STD0036,2022/2023,2,3.5,8.0,8.0
STD0037,2017/2018,1,0.0,8.0,0.0
STD0037,2017/2018,2,1.875,8.0,5.0
STD0037,2018/2019,1,0.0,14.0,0.0
STD0037,2018/2019,2,0.0,2.0,0.0
STD0037,2019/2020,1,0.0,5.0,0.0
STD0037,2019/2020,2,0.0,8.0,0.0
STD0037,2020/2021,1,1.0,6.0,3.0
STD0037,2020/2021,2,0.6666666666666666,9.0,2.0
STD0037,2021/2022,1,0.5,12.0,3.0
STD0037,2021/2022,2,0.0,3.0,0.0
STD0037,2022/2023,1,0.0,7.0,0.0
STD0037,2022/2023,2,1.2857142857142858,7.0,3.0
STD0038,2019/2020,1,3.0,6.0,6.0
STD0038,2019/2020,2,1.8,10.0,7.0
STD0038,2020/2021,1,2.875,8.0,8.0
STD0038,2020/2021,2,2.2857142857142856,7.0,5.0
STD0038,2021/2022,1,1.9090909090909092,11.0,9.0
STD0038,2021/2022,2,0.0,5.0,0.0
STD0038,2022/2023,1,0.0,8.0,0.0
STD0038,2022/2023,2,2.25,8.0,6.0
STD0039,2020/2021,1,3.2,5.0,5.0
STD0039,2020/2021,2,4.0,10.0,10.0
STD0039,2021/2022,1,3.2,10.0,10.0
STD0039,2021/2022,2,2.5,4.0,2.0
STD0039,2022/2023,1,2.9,10.0,8.0
STD0039,2022/2023,2,1.5,4.0,2.0
STD0040,2020/2021,1,2.6,5.0,5.0
STD0040,2020/2021,2,4.2,10.0,10.0
STD0040,2021/2022,1,3.875,8.0,8.0
STD0040,2021/2022,2,4.285714285714286,7.0,7.0
STD0040,2022/2023,1,4.0,10.0,10.0
STD0040,2022/2023,2,4.2,5.0,5.0
STD0041,2019/2020,1,2.25,8.0,5.0
STD0041,2019/2020,2,4.428571428571429,7.0,7.0
STD0041,2020/2021,1,0.8571428571428571,7.0,2.0
STD0041,2020/2021,2,3.0,7.0,7.0
STD0041,2021/2022,1,2.25,8.0,5.0
STD0041,2021/2022,2,3.3333333333333335,6.0,6.0
STD0041,2022/2023,1,4.25,8.0,8.0
STD0041,2022/2023,2,4.25,8.0,8.0
STD0042,2018/2019,1,2.75,8.0,8.0
STD0042,2018/2019,2,3.2857142857142856,7.0,5.0
STD0042,2019/2020,1,3.0,4.0,4.0
STD0042,2019/2020,2,4.555555555555555,9.0,9.0
STD0042,2020/2021,1,3.5,8.0,8.0
STD0042,2020/2021,2,2.0,6.0,4.0
STD0042,2021/2022,1,3.75,8.0,8.0
STD0042,2021/2022,2,3.625,8.0,8.0
STD0042,2022/2023,1,2.2,10.0,7.0
STD0042,2022/2023,2,3.5,4.0,4.0
STD0043,2020/2021,1,2.625,8.0,6.0
STD0043,2020/2021,2,3.2857142857142856,7.0,7.0
STD0043,2021/2022,1,2.4545454545454546,11.0,8.0
STD0043,2021/2022,2,5.0,4.0,4.0
STD0043,2022/2023,1,3.6666666666666665,9.0,9.0
STD0043,2022/2023,2,3.5,8.0,8.0
STD0044,2019/2020,1,0.0,5.0,0.0
STD0044,2019/2020,2,1.2,10.0,5.0
STD0044,2020/2021,1,1.5,10.0,5.0
STD0044,2020/2021,2,2.0,4.0,2.0
STD0044,2021/2022,1,0.0,3.0,0.0
STD0044,2021/2022,2,2.6363636363636362,11.0,11.0
STD0044,2022/2023,1,2.1,10.0,7.0
STD0044,2022/2023,2,0.0,4.0,0.0
STD0045,2018/2019,1,1.125,8.0,3.0
STD0045,2018/2019,2,3.2857142857142856,7.0,7.0
STD0045,2019/2020,1,0.9090909090909091,11.0,5.0
STD0045,2019/2020,2,2.0,4.0,2.0
STD0045,2020/2021,1,1.0,13.0,5.0
STD0045,2020/2021,2,2.0,3.0,3.0
STD0045,2021/2022,1,1.6666666666666667,9.0,6.0
STD0045,2021/2022,2,3.0,8.0,8.0
STD0045,2022/2023,1,2.6,5.0,5.0
STD0045,2022/2023,2,2.2,10.0,5.0
STD0046,2017/2018,1,2.625,8.0,6.0
STD0046,2017/2018,2,3.375,8.0,8.0
STD0046,2018/2019,1,1.875,8.0,5.0
STD0046,2018/2019,2,3.857142857142857,7.0,7.0
STD0046,2019/2020,1,2.4,5.0,5.0
STD0046,2019/2020,2,0.6666666666666666,9.0,2.0
STD0046,2020/2021,1,2.0,6.0,3.0
STD0046,2020/2021,2,3.0,10.0,10.0
STD0046,2021/2022,1,2.6,5.0,5.0
STD0046,2021/2022,2,2.6666666666666665,9.0,6.0
STD0046,2022/2023,1,3.0,10.0,10.0
STD0046,2022/2023,2,2.4,5.0,3.0
STD0047,2017/2018,1,3.25,8.0,8.0
STD0047,2017/2018,2,4.428571428571429,7.0,7.0
STD0047,2018/2019,1,3.375,8.0,8.0
STD0047,2018/2019,2,4.142857142857143,7.0,7.0
STD0047,2019/2020,1,4.2,10.0,10.0
STD0047,2019/2020,2,4.4,5.0,5.0
STD0047,2020/2021,1,4.142857142857143,7.0,7.0
STD0047,2020/2021,2,4.666666666666667,6.0,6.0
STD0047,2021/2022,1,4.0,5.0,5.0
STD0047,2021/2022,2,4.6,10.0,10.0
STD0047,2022/2023,1,5.0,3.0,3.0
STD0047,2022/2023,2,4.461538461538462,13.0,13.0
STD0048,2018/2019,1,1.2,5.0,3.0
STD0048,2018/2019,2,4.0,10.0,10.0
STD0048,2019/2020,1,2.4285714285714284,7.0,5.0
STD0048,2019/2020,2,5.0,7.0,7.0
STD0048,2020/2021,1,4.0,6.0,6.0
STD0048,2020/2021,2,2.5,8.0,6.0
STD0048,2021/2022,1,3.857142857142857,7.0,7.0
STD0048,2021/2022,2,3.0,6.0,6.0
STD0048,2022/2023,1,3.875,8.0,8.0
STD0048,2022/2023,2,3.5714285714285716,7.0,7.0
STD0049,2017/2018,1,0.0,5.0,0.0
STD0049,2017/2018,2,0.8,10.0,2.0
STD0049,2018/2019,1,0.36363636363636365,11.0,2.0
STD0049,2018/2019,2,0.0,5.0,0.0
STD0049,2019/2020,1,0.0,8.0,0.0
STD0049,2019/2020,2,0.0,7.0,0.0
STD0049,2020/2021,1,0.0,5.0,0.0
STD0049,2020/2021,2,0.0,10.0,0.0
STD0049,2021/2022,1,0.0,2.0,0.0
STD0049,2021/2022,2,1.4166666666666667,12.0,7.0
STD0049,2022/2023,1,1.2,5.0,3.0
STD0049,2022/2023,2,0.6,10.0,2.0
STD0050,2020/2021,1,3.0,8.0,6.0
STD0050,2020/2021,2,4.625,8.0,8.0
STD0050,2021/2022,1,2.7,10.0,10.0
STD0050,2021/2022,2,4.4,5.0,5.0
STD0050,2022/2023,1,1.0,8.0,2.0
STD0050,2022/2023,2,2.7142857142857144,7.0,7.0
STD0051,2019/2020,1,1.875,8.0,6.0
STD0051,2019/2020,2,3.0,7.0,7.0
STD0051,2020/2021,1,2.5384615384615383,13.0,10.0
STD0051,2020/2021,2,3.0,3.0,3.0
STD0051,2021/2022,1,0.0,3.0,0.0
STD0051,2021/2022,2,2.9166666666666665,12.0,10.0
STD0051,2022/2023,1,2.125,8.0,5.0
STD0051,2022/2023,2,3.6666666666666665,6.0,6.0
STD0052,2017/2018,1,2.75,8.0,8.0
STD0052,2017/2018,2,3.75,8.0,8.0
STD0052,2018/2019,1,2.4,5.0,3.0
STD0052,2018/2019,2,3.1,10.0,10.0
STD0052,2019/2020,1,1.7,10.0,5.0
STD0052,2019/2020,2,3.6,5.0,5.0
STD0052,2020/2021,1,0.5,8.0,2.0
STD0052,2020/2021,2,3.0,8.0,6.0
STD0052,2021/2022,1,3.0,3.0,3.0
STD0052,2021/2022,2,2.25,12.0,9.0
STD0052,2022/2023,1,0.0,3.0,0.0
STD0052,2022/2023,2,3.3846153846153846,13.0,13.0
STD0053,2019/2020,1,3.8,5.0,5.0
STD0053,2019/2020,2,4.8,10.0,10.0
STD0053,2020/2021,1,3.2,10.0,10.0
STD0053,2020/2021,2,5.0,4.0,4.0
STD0053,2021/2022,1,2.75,12.0,10.0
STD0053,2021/2022,2,4.0,2.0,2.0
STD0053,2022/2023,2,4.25,16.0,16.0
STD0054,2019/2020,1,3.75,8.0,8.0
STD0054,2019/2020,2,5.0,8.0,8.0
STD0054,2020/2021,1,3.4,5.0,5.0
STD0054,2020/2021,2,4.0,9.0,9.0
STD0054,2021/2022,1,5.0,4.0,4.0
STD0054,2021/2022,2,4.444444444444445,9.0,9.0
STD0054,2022/2023,1,4.333333333333333,9.0,9.0
STD0054,2022/2023,2,2.857142857142857,7.0,7.0
STD0055,2018/2019,1,4.2,5.0,5.0
STD0055,2018/2019,2,4.3,10.0,10.0
STD0055,2019/2020,1,3.875,8.0,8.0
STD0055,2019/2020,2,3.4285714285714284,7.0,7.0
STD0055,2020/2021,1,4.538461538461538,13.0,13.0
STD0055,2020/2021,2,5.0,3.0,3.0
STD0055,2021/2022,1,4.0,12.0,12.0
STD0055,2021/2022,2,5.0,6.0,6.0
STD0055,2022/2023,1,3.0,8.0,8.0
STD0055,2022/2023,2,3.5714285714285716,7.0,5.0
STD0056,2017/2018,1,2.25,8.0,6.0
STD0056,2017/2018,2,3.0,8.0,6.0
STD0056,2018/2019,1,1.0,12.0,3.0
STD0056,2018/2019,2,4.0,5.0,5.0
STD0056,2019/2020,1,2.5833333333333335,12.0,8.0
STD0056,2019/2020,2,0.0,2.0,0.0
STD0056,2020/2021,1,1.0,6.0,3.0
STD0056,2020/2021,2,0.8,10.0,2.0
STD0056,2021/2022,1,3.5714285714285716,7.0,7.0
STD0056,2021/2022,2,2.125,8.0,5.0
STD0056,2022/2023,1,0.0,5.0,0.0
STD0056,2022/2023,2,3.6,10.0,10.0
STD0057,2018/2019,1,2.25,8.0,6.0
STD0057,2018/2019,2,3.2857142857142856,7.0,7.0
STD0057,2019/2020,1,2.076923076923077,13.0,10.0
STD0057,2019/2020,2,3.0,3.0,3.0
STD0057,2020/2021,1,3.75,8.0,8.0
STD0057,2020/2021,2,3.5714285714285716,7.0,7.0
STD0057,2021/2022,1,2.0,3.0,3.0
STD0057,2021/2022,2,2.3333333333333335,12.0,7.0
STD0057,2022/2023,1,2.4,5.0,3.0
STD0057,2022/2023,2,3.090909090909091,11.0,11.0
STD0058,2019/2020,1,3.0,8.0,8.0
STD0058,2019/2020,2,4.428571428571429,7.0,7.0
STD0058,2020/2021,1,3.4285714285714284,7.0,7.0
STD0058,2020/2021,2,3.7142857142857144,7.0,7.0
STD0058,2021/2022,1,3.1,10.0,8.0
STD0058,2021/2022,2,5.0,5.0,5.0
STD0058,2022/2023,1,3.142857142857143,7.0,7.0
STD0058,2022/2023,2,4.25,8.0,8.0
STD0059,2018/2019,1,4.125,8.0,8.0
