student_id,course_code,session,semester,score,grade,grade_point,pass,credit_units
STD0002,STA206,2022/2023,1,76.7,A,5,1,2
STD0002,STA208,2022/2023,1,89.0,A,5,1,3
STD0002,STA403,2022/2023,2,70.3,A,5,1,2
STD0002,STA409,2022/2023,2,58.4,C,3,1,3
STD0003,STA102,2017/2018,1,72.0,A,5,1,3
STD0003,STA105,2017/2018,2,76.5,A,5,1,3
STD0003,STA106,2017/2018,2,100.0,A,5,1,2
STD0003,STA103,2017/2018,1,53.8,C,3,1,2
STD0003,STA109,2017/2018,1,72.4,A,5,1,3
STD0003,STA107,2017/2018,2,67.5,B,4,1,2
STD0003,STA100,2018/2019,2,74.4,A,5,1,3
STD0003,STA206,2018/2019,1,72.1,A,5,1,2
STD0003,STA209,2018/2019,1,62.1,B,4,1,3
STD0003,STA109,2018/2019,1,66.8,B,4,1,3
STD0003,STA208,2018/2019,1,82.7,A,5,1,3
STD0003,STA207,2018/2019,1,81.1,A,5,1,2
STD0003,STA109,2019/2020,1,64.7,B,4,1,3
STD0003,STA308,2019/2020,2,86.7,A,5,1,3
STD0003,STA303,2019/2020,1,87.5,A,5,1,3
STD0003,STA305,2019/2020,1,88.6,A,5,1,3
STD0003,STA300,2019/2020,2,65.0,B,4,1,2
STD0003,STA304,2019/2020,1,70.6,A,5,1,2
STD0003,STA100,2020/2021,2,62.8,B,4,1,3
STD0003,STA304,2020/2021,1,67.4,B,4,1,2
STD0003,STA409,2020/2021,2,72.6,A,5,1,3
STD0003,STA307,2020/2021,1,68.0,B,4,1,2
STD0003,STA407,2020/2021,2,78.9,A,5,1,3
STD0003,STA200,2020/2021,2,89.9,A,5,1,2
STD0003,STA208,2021/2022,1,80.9,A,5,1,3
STD0003,STA409,2021/2022,2,59.5,C,3,1,3
STD0003,STA300,2021/2022,2,59.4,C,3,1,2
STD0003,STA303,2021/2022,1,87.9,A,5,1,3
STD0003,STA207,2021/2022,1,60.6,B,4,1,2
STD0003,STA400,2021/2022,1,84.9,A,5,1,2
STD0003,STA207,2022/2023,1,72.7,A,5,1,2
STD0003,STA401,2022/2023,2,76.4,A,5,1,2
STD0003,STA409,2022/2023,2,59.5,C,3,1,3
STD0003,STA304,2022/2023,1,80.5,A,5,1,2
STD0003,STA103,2022/2023,1,65.4,B,4,1,2
STD0003,STA403,2022/2023,2,76.4,A,5,1,2
STD0004,STA105,2020/2021,2,68.9,B,4,1,3
STD0004,STA107,2020/2021,2,60.5,B,4,1,2
STD0004,STA103,2020/2021,1,43.3,F,0,0,2
STD0004,STA100,2020/2021,2,54.8,C,3,1,3
STD0004,STA102,2020/2021,1,61.3,B,4,1,3
STD0004,STA109,2020/2021,1,55.0,C,3,1,3
STD0004,STA109,2021/2022,1,65.8,B,4,1,3
STD0004,STA103,2021/2022,1,44.4,F,0,0,2
STD0004,STA105,2021/2022,2,52.5,C,3,1,3
STD0004,STA206,2021/2022,1,56.0,C,3,1,2
STD0004,STA102,2021/2022,1,53.2,C,3,1,3
STD0004,STA204,2021/2022,2,44.3,F,0,0,2
STD0004,STA106,2022/2023,2,74.5,A,5,1,2
STD0004,STA200,2022/2023,2,71.2,A,5,1,2
STD0004,STA305,2022/2023,1,60.3,B,4,1,3
STD0004,STA306,2022/2023,2,59.3,C,3,1,2
STD0004,STA302,2022/2023,2,57.7,C,3,1,2
STD0004,STA300,2022/2023,2,58.6,C,3,1,2
STD0005,STA106,2017/2018,2,74.6,A,5,1,2
STD0005,STA102,2017/2018,1,52.8,C,3,1,3
STD0005,STA107,2017/2018,2,65.1,B,4,1,2
STD0005,STA100,2017/2018,2,73.1,A,5,1,3
STD0005,STA103,2017/2018,1,47.6,D,2,1,2
STD0005,STA109,2017/2018,1,60.9,B,4,1,3
STD0005,STA105,2018/2019,2,46.7,D,2,1,3
STD0005,STA200,2018/2019,2,78.8,A,5,1,2
STD0005,STA208,2018/2019,1,47.0,D,2,1,3
STD0005,STA107,2018/2019,2,56.1,C,3,1,2
STD0005,STA209,2018/2019,1,44.0,F,0,0,3
STD0005,STA103,2018/2019,1,36.9,F,0,0,2
STD0005,STA307,2019/2020,1,45.4,D,2,1,2
STD0005,STA100,2019/2020,2,57.8,C,3,1,3
STD0005,STA303,2019/2020,1,44.3,F,0,0,3
STD0005,STA308,2019/2020,2,55.8,C,3,1,3
STD0005,STA205,2019/2020,1,36.6,F,0,0,3
STD0005,STA200,2019/2020,2,77.1,A,5,1,2
STD0005,STA302,2020/2021,2,40.8,F,0,0,2
STD0005,STA405,2020/2021,2,61.7,B,4,1,2
STD0005,STA206,2020/2021,1,61.4,B,4,1,2
STD0005,STA409,2020/2021,2,38.5,F,0,0,3
STD0005,STA201,2020/2021,1,42.8,F,0,0,3
STD0005,STA303,2020/2021,1,74.0,A,5,1,3
STD0005,STA100,2021/2022,2,66.9,B,4,1,3
STD0005,STA209,2021/2022,1,48.9,D,2,1,3
STD0005,STA308,2021/2022,2,55.0,C,3,1,3
STD0005,STA302,2021/2022,2,53.6,C,3,1,2
STD0005,STA207,2021/2022,1,73.9,A,5,1,2
STD0005,STA208,2021/2022,1,67.4,B,4,1,3
STD0005,STA300,2022/2023,2,47.6,D,2,1,2
STD0005,STA302,2022/2023,2,48.1,D,2,1,2
STD0005,STA303,2022/2023,1,70.9,A,5,1,3
STD0005,STA204,2022/2023,2,46.5,D,2,1,2
STD0005,STA102,2022/2023,1,54.8,C,3,1,3
STD0005,STA206,2022/2023,1,66.0,B,4,1,2
STD0006,STA102,2018/2019,1,71.3,A,5,1,3
STD0006,STA105,2018/2019,2,83.5,A,5,1,3
STD0006,STA100,2018/2019,2,86.0,A,5,1,3
STD0006,STA103,2018/2019,1,50.3,C,3,1,2
STD0006,STA107,2018/2019,2,80.1,A,5,1,2
STD0006,STA106,2018/2019,2,81.7,A,5,1,2
STD0006,STA100,2019/2020,2,91.3,A,5,1,3
STD0006,STA102,2019/2020,1,81.9,A,5,1,3
STD0006,STA107,2019/2020,2,65.7,B,4,1,2
STD0006,STA205,2019/2020,1,74.8,A,5,1,3
STD0006,STA208,2019/2020,1,93.9,A,5,1,3
STD0006,STA200,2019/2020,2,82.7,A,5,1,2
STD0006,STA109,2020/2021,1,68.0,B,4,1,3
STD0006,STA308,2020/2021,2,75.1,A,5,1,3
STD0006,STA100,2020/2021,2,76.6,A,5,1,3
STD0006,STA302,2020/2021,2,73.3,A,5,1,2
STD0006,STA303,2020/2021,1,78.9,A,5,1,3
STD0006,STA207,2020/2021,1,65.2,B,4,1,2
STD0006,STA306,2021/2022,2,65.5,B,4,1,2
STD0006,STA404,2021/2022,2,93.1,A,5,1,3
STD0006,STA303,2021/2022,1,71.2,A,5,1,3
STD0006,STA205,2021/2022,1,57.3,C,3,1,3
STD0006,STA304,2021/2022,1,92.9,A,5,1,2
STD0006,STA105,2021/2022,2,79.2,A,5,1,3
STD0006,STA308,2022/2023,2,70.5,A,5,1,3
STD0006,STA205,2022/2023,1,55.7,C,3,1,3
STD0006,STA303,2022/2023,1,79.6,A,5,1,3
STD0006,STA300,2022/2023,2,69.4,B,4,1,2
STD0006,STA405,2022/2023,2,82.5,A,5,1,2
STD0006,STA207,2022/2023,1,90.5,A,5,1,2
STD0007,STA100,2017/2018,2,66.5,B,4,1,3
STD0007,STA106,2017/2018,2,79.7,A,5,1,2
STD0007,STA105,2017/2018,2,81.1,A,5,1,3
STD0007,STA102,2017/2018,1,73.1,A,5,1,3
STD0007,STA107,2017/2018,2,48.1,D,2,1,2
STD0007,STA103,2017/2018,1,37.0,F,0,0,2
STD0007,STA106,2018/2019,2,72.2,A,5,1,2
STD0007,STA207,2018/2019,1,77.3,A,5,1,2
STD0007,STA102,2018/2019,1,54.3,C,3,1,3
STD0007,STA200,2018/2019,2,67.4,B,4,1,2
STD0007,STA109,2018/2019,1,53.7,C,3,1,3
STD0007,STA107,2018/2019,2,79.7,A,5,1,2
STD0007,STA306,2019/2020,2,55.4,C,3,1,2
STD0007,STA305,2019/2020,1,66.8,B,4,1,3
STD0007,STA207,2019/2020,1,69.1,B,4,1,2
STD0007,STA209,2019/2020,1,55.5,C,3,1,3
STD0007,STA302,2019/2020,2,65.0,B,4,1,2
STD0007,STA109,2019/2020,1,54.5,C,3,1,3
STD0007,STA109,2020/2021,1,55.9,C,3,1,3
STD0007,STA200,2020/2021,2,79.0,A,5,1,2
STD0007,STA208,2020/2021,1,73.7,A,5,1,3
STD0007,STA401,2020/2021,2,77.9,A,5,1,2
STD0007,STA102,2020/2021,1,69.8,B,4,1,3
STD0007,STA400,2020/2021,1,66.3,B,4,1,2
STD0007,STA404,2021/2022,2,72.7,A,5,1,3
STD0007,STA201,2021/2022,1,63.6,B,4,1,3
STD0007,STA403,2021/2022,2,73.2,A,5,1,2
STD0007,STA304,2021/2022,1,73.7,A,5,1,2
STD0007,STA105,2021/2022,2,72.3,A,5,1,3
STD0007,STA407,2021/2022,2,82.4,A,5,1,3
STD0007,STA206,2022/2023,1,73.9,A,5,1,2
STD0007,STA201,2022/2023,1,60.3,B,4,1,3
STD0007,STA100,2022/2023,2,55.6,C,3,1,3
STD0007,STA304,2022/2023,1,59.2,C,3,1,2
STD0007,STA105,2022/2023,2,44.7,F,0,0,3
STD0007,STA300,2022/2023,2,64.8,B,4,1,2
STD0008,STA103,2020/2021,1,32.7,F,0,0,2
STD0008,STA106,2020/2021,2,76.2,A,5,1,2
STD0008,STA109,2020/2021,1,44.0,F,0,0,3
STD0008,STA100,2020/2021,2,57.1,C,3,1,3
STD0008,STA107,2020/2021,2,46.2,D,2,1,2
STD0008,STA102,2020/2021,1,50.1,C,3,1,3
STD0008,STA107,2021/2022,2,58.3,C,3,1,2
STD0008,STA205,2021/2022,1,39.7,F,0,0,3
STD0008,STA204,2021/2022,2,45.6,D,2,1,2
STD0008,STA100,2021/2022,2,63.0,B,4,1,3
STD0008,STA106,2021/2022,2,86.6,A,5,1,2
STD0008,STA109,2021/2022,1,41.0,F,0,0,3
STD0008,STA307,2022/2023,1,47.5,D,2,1,2
STD0008,STA308,2022/2023,2,51.2,C,3,1,3
STD0008,STA205,2022/2023,1,20.6,F,0,0,3
STD0008,STA204,2022/2023,2,55.0,C,3,1,2
STD0008,STA302,2022/2023,2,38.8,F,0,0,2
STD0008,STA209,2022/2023,1,42.2,F,0,0,3
STD0009,STA107,2020/2021,2,68.9,B,4,1,2
STD0009,STA103,2020/2021,1,53.1,C,3,1,2
STD0009,STA100,2020/2021,2,71.7,A,5,1,3
STD0009,STA102,2020/2021,1,62.6,B,4,1,3
STD0009,STA109,2020/2021,1,63.4,B,4,1,3
STD0009,STA106,2020/2021,2,84.3,A,5,1,2
STD0009,STA102,2021/2022,1,73.9,A,5,1,3
STD0009,STA105,2021/2022,2,78.0,A,5,1,3
STD0009,STA100,2021/2022,2,68.0,B,4,1,3
STD0009,STA201,2021/2022,1,51.6,C,3,1,3
STD0009,STA209,2021/2022,1,56.4,C,3,1,3
STD0009,STA206,2021/2022,1,62.2,B,4,1,2
STD0009,STA300,2022/2023,2,51.8,C,3,1,2
STD0009,STA306,2022/2023,2,63.1,B,4,1,2
STD0009,STA204,2022/2023,2,58.2,C,3,1,2
STD0009,STA200,2022/2023,2,80.7,A,5,1,2
STD0009,STA109,2022/2023,1,67.6,B,4,1,3
STD0009,STA208,2022/2023,1,69.6,B,4,1,3
STD0010,STA105,2017/2018,2,57.7,C,3,1,3
STD0010,STA102,2017/2018,1,46.0,D,2,1,3
STD0010,STA107,2017/2018,2,55.9,C,3,1,2
STD0010,STA100,2017/2018,2,67.5,B,4,1,3
STD0010,STA109,2017/2018,1,44.9,F,0,0,3
STD0010,STA106,2017/2018,2,73.2,A,5,1,2
STD0010,STA103,2018/2019,1,45.0,F,0,0,2
STD0010,STA102,2018/2019,1,51.8,C,3,1,3
STD0010,STA206,2018/2019,1,52.8,C,3,1,2
STD0010,STA105,2018/2019,2,45.2,D,2,1,3
STD0010,STA200,2018/2019,2,51.0,C,3,1,2
STD0010,STA201,2018/2019,1,32.0,F,0,0,3
STD0010,STA307,2019/2020,1,59.5,C,3,1,2
STD0010,STA205,2019/2020,1,42.2,F,0,0,3
STD0010,STA105,2019/2020,2,60.8,B,4,1,3
STD0010,STA200,2019/2020,2,74.3,A,5,1,2
STD0010,STA208,2019/2020,1,67.0,B,4,1,3
STD0010,STA209,2019/2020,1,32.2,F,0,0,3
STD0010,STA208,2020/2021,1,56.1,C,3,1,3
STD0010,STA305,2020/2021,1,53.0,C,3,1,3
STD0010,STA404,2020/2021,2,74.1,A,5,1,3
STD0010,STA106,2020/2021,2,74.9,A,5,1,2
STD0010,STA103,2020/2021,1,44.8,F,0,0,2
STD0010,STA308,2020/2021,2,54.3,C,3,1,3
STD0010,STA305,2021/2022,1,63.9,B,4,1,3
STD0010,STA106,2021/2022,2,79.2,A,5,1,2
STD0010,STA304,2021/2022,1,51.2,C,3,1,2
STD0010,STA207,2021/2022,1,62.1,B,4,1,2
STD0010,STA303,2021/2022,1,50.2,C,3,1,3
STD0010,STA204,2021/2022,2,38.7,F,0,0,2
STD0010,STA405,2022/2023,2,60.2,B,4,1,2
STD0010,STA401,2022/2023,2,54.8,C,3,1,2
STD0010,STA300,2022/2023,2,50.0,D,2,1,2
STD0010,STA102,2022/2023,1,48.1,D,2,1,3
STD0010,STA303,2022/2023,1,71.6,A,5,1,3
STD0010,STA201,2022/2023,1,60.1,B,4,1,3
STD0011,STA102,2020/2021,1,57.1,C,3,1,3
STD0011,STA109,2020/2021,1,43.0,F,0,0,3
STD0011,STA107,2020/2021,2,55.2,C,3,1,2
STD0011,STA103,2020/2021,1,36.5,F,0,0,2
STD0011,STA100,2020/2021,2,39.2,F,0,0,3
STD0011,STA106,2020/2021,2,75.9,A,5,1,2
STD0011,STA207,2021/2022,1,53.9,C,3,1,2
STD0011,STA204,2021/2022,2,43.2,F,0,0,2
STD0011,STA100,2021/2022,2,72.6,A,5,1,3
STD0011,STA109,2021/2022,1,40.9,F,0,0,3
STD0011,STA200,2021/2022,2,62.1,B,4,1,2
STD0011,STA105,2021/2022,2,57.5,C,3,1,3
STD0011,STA106,2022/2023,2,75.5,A,5,1,2
STD0011,STA204,2022/2023,2,37.4,F,0,0,2
STD0011,STA305,2022/2023,1,51.1,C,3,1,3
STD0011,STA102,2022/2023,1,40.7,F,0,0,3
STD0011,STA303,2022/2023,1,62.9,B,4,1,3
STD0011,STA107,2022/2023,2,46.5,D,2,1,2
STD0012,STA103,2019/2020,1,48.4,D,2,1,2
STD0012,STA100,2019/2020,2,65.9,B,4,1,3
STD0012,STA102,2019/2020,1,56.8,C,3,1,3
STD0012,STA106,2019/2020,2,77.2,A,5,1,2
STD0012,STA105,2019/2020,2,68.3,B,4,1,3
STD0012,STA107,2019/2020,2,56.4,C,3,1,2
STD0012,STA200,2020/2021,2,83.9,A,5,1,2
STD0012,STA103,2020/2021,1,45.4,D,2,1,2
STD0012,STA107,2020/2021,2,57.7,C,3,1,2
STD0012,STA209,2020/2021,1,43.7,F,0,0,3
STD0012,STA205,2020/2021,1,24.0,F,0,0,3
STD0012,STA102,2020/2021,1,67.6,B,4,1,3
STD0012,STA302,2021/2022,2,51.0,C,3,1,2
STD0012,STA305,2021/2022,1,53.4,C,3,1,3
STD0012,STA205,2021/2022,1,45.9,D,2,1,3
STD0012,STA304,2021/2022,1,58.1,C,3,1,2
STD0012,STA303,2021/2022,1,59.2,C,3,1,3
STD0012,STA107,2021/2022,2,56.5,C,3,1,2
STD0012,STA103,2022/2023,1,40.8,F,0,0,2
STD0012,STA307,2022/2023,1,70.6,A,5,1,2
STD0012,STA302,2022/2023,2,53.0,C,3,1,2
STD0012,STA107,2022/2023,2,59.6,C,3,1,2
STD0012,STA305,2022/2023,1,62.5,B,4,1,3
STD0012,STA405,2022/2023,2,61.2,B,4,1,2
STD0013,STA106,2018/2019,2,64.8,B,4,1,2
STD0013,STA102,2018/2019,1,45.4,D,2,1,3
STD0013,STA109,2018/2019,1,27.3,F,0,0,3
STD0013,STA105,2018/2019,2,44.6,F,0,0,3
STD0013,STA107,2018/2019,2,48.9,D,2,1,2
STD0013,STA103,2018/2019,1,29.1,F,0,0,2
STD0013,STA207,2019/2020,1,48.3,D,2,1,2
STD0013,STA109,2019/2020,1,30.5,F,0,0,3
STD0013,STA107,2019/2020,2,21.6,F,0,0,2
STD0013,STA100,2019/2020,2,44.8,F,0,0,3
STD0013,STA201,2019/2020,1,36.0,F,0,0,3
STD0013,STA209,2019/2020,1,39.1,F,0,0,3
STD0013,STA105,2020/2021,2,36.6,F,0,0,3
STD0013,STA302,2020/2021,2,29.8,F,0,0,2
STD0013,STA303,2020/2021,1,46.7,D,2,1,3
STD0013,STA201,2020/2021,1,39.2,F,0,0,3
STD0013,STA307,2020/2021,1,39.5,F,0,0,2
STD0013,STA206,2020/2021,1,33.8,F,0,0,2
STD0013,STA303,2021/2022,1,45.8,D,2,1,3
STD0013,STA407,2021/2022,2,48.0,D,2,1,3
STD0013,STA204,2021/2022,2,26.8,F,0,0,2
STD0013,STA109,2021/2022,1,32.7,F,0,0,3
STD0013,STA106,2021/2022,2,59.8,C,3,1,2
STD0013,STA201,2021/2022,1,43.6,F,0,0,3
STD0013,STA209,2022/2023,1,43.7,F,0,0,3
STD0013,STA206,2022/2023,1,30.1,F,0,0,2
STD0013,STA205,2022/2023,1,28.2,F,0,0,3
STD0013,STA107,2022/2023,2,41.2,F,0,0,2
STD0013,STA308,2022/2023,2,33.2,F,0,0,3
STD0013,STA405,2022/2023,2,45.2,D,2,1,2
STD0014,STA106,2017/2018,2,52.9,C,3,1,2
STD0014,STA100,2017/2018,2,49.1,D,2,1,3
STD0014,STA109,2017/2018,1,43.9,F,0,0,3
STD0014,STA102,2017/2018,1,37.8,F,0,0,3
STD0014,STA107,2017/2018,2,33.4,F,0,0,2
STD0014,STA105,2017/2018,2,33.1,F,0,0,3
STD0014,STA205,2018/2019,1,27.0,F,0,0,3
STD0014,STA209,2018/2019,1,28.1,F,0,0,3
STD0014,STA100,2018/2019,2,50.5,C,3,1,3
STD0014,STA204,2018/2019,2,41.2,F,0,0,2
STD0014,STA102,2018/2019,1,39.8,F,0,0,3
STD0014,STA201,2018/2019,1,27.2,F,0,0,3
STD0014,STA106,2019/2020,2,68.4,B,4,1,2
STD0014,STA302,2019/2020,2,52.2,C,3,1,2
STD0014,STA206,2019/2020,1,49.5,D,2,1,2
STD0014,STA103,2019/2020,1,45.8,D,2,1,2
STD0014,STA201,2019/2020,1,28.8,F,0,0,3
STD0014,STA306,2019/2020,2,52.9,C,3,1,2
STD0014,STA409,2020/2021,2,29.9,F,0,0,3
STD0014,STA405,2020/2021,2,40.4,F,0,0,2
STD0014,STA105,2020/2021,2,43.4,F,0,0,3
STD0014,STA403,2020/2021,2,61.0,B,4,1,2
STD0014,STA303,2020/2021,1,38.7,F,0,0,3
STD0014,STA206,2020/2021,1,46.8,D,2,1,2
STD0014,STA404,2021/2022,2,51.5,C,3,1,3
STD0014,STA206,2021/2022,1,32.1,F,0,0,2
STD0014,STA100,2021/2022,2,43.1,F,0,0,3
STD0014,STA303,2021/2022,1,39.4,F,0,0,3
STD0014,STA300,2021/2022,2,54.9,C,3,1,2
STD0014,STA306,2021/2022,2,34.8,F,0,0,2
STD0014,STA206,2022/2023,1,34.6,F,0,0,2
STD0014,STA105,2022/2023,2,21.8,F,0,0,3
STD0014,STA106,2022/2023,2,68.0,B,4,1,2
STD0014,STA103,2022/2023,1,46.8,D,2,1,2
STD0014,STA405,2022/2023,2,44.1,F,0,0,2
STD0014,STA109,2022/2023,1,39.3,F,0,0,3
STD0015,STA100,2020/2021,2,41.7,F,0,0,3
STD0015,STA102,2020/2021,1,53.4,C,3,1,3
STD0015,STA105,2020/2021,2,53.2,C,3,1,3
STD0015,STA106,2020/2021,2,77.3,A,5,1,2
STD0015,STA107,2020/2021,2,51.5,C,3,1,2
STD0015,STA109,2020/2021,1,42.6,F,0,0,3
STD0015,STA205,2021/2022,1,29.7,F,0,0,3
STD0015,STA208,2021/2022,1,52.5,C,3,1,3
STD0015,STA103,2021/2022,1,25.1,F,0,0,2
STD0015,STA106,2021/2022,2,59.3,C,3,1,2
STD0015,STA100,2021/2022,2,58.8,C,3,1,3
STD0015,STA107,2021/2022,2,53.9,C,3,1,2
STD0015,STA208,2022/2023,1,62.9,B,4,1,3
STD0015,STA306,2022/2023,2,39.9,F,0,0,2
STD0015,STA307,2022/2023,1,53.5,C,3,1,2
STD0015,STA304,2022/2023,1,51.7,C,3,1,2
STD0015,STA209,2022/2023,1,39.8,F,0,0,3
STD0015,STA100,2022/2023,2,51.5,C,3,1,3
STD0016,STA105,2019/2020,2,51.8,C,3,1,3
STD0016,STA100,2019/2020,2,59.5,C,3,1,3
STD0016,STA102,2019/2020,1,38.8,F,0,0,3
STD0016,STA103,2019/2020,1,35.1,F,0,0,2
STD0016,STA107,2019/2020,2,48.9,D,2,1,2
STD0016,STA109,2019/2020,1,35.5,F,0,0,3
STD0016,STA105,2020/2021,2,48.5,D,2,1,3
STD0016,STA201,2020/2021,1,36.0,F,0,0,3
STD0016,STA106,2020/2021,2,66.0,B,4,1,2
STD0016,STA209,2020/2021,1,25.2,F,0,0,3
STD0016,STA208,2020/2021,1,68.5,B,4,1,3
STD0016,STA200,2020/2021,2,56.7,C,3,1,2
STD0016,STA107,2021/2022,2,36.6,F,0,0,2
STD0016,STA307,2021/2022,1,46.8,D,2,1,2
STD0016,STA206,2021/2022,1,43.2,F,0,0,2
STD0016,STA100,2021/2022,2,50.5,C,3,1,3
STD0016,STA302,2021/2022,2,40.5,F,0,0,2
STD0016,STA201,2021/2022,1,48.3,D,2,1,3
STD0016,STA206,2022/2023,1,48.6,D,2,1,2
STD0016,STA208,2022/2023,1,59.2,C,3,1,3
STD0016,STA106,2022/2023,2,66.7,B,4,1,2
STD0016,STA405,2022/2023,2,45.9,D,2,1,2
STD0016,STA107,2022/2023,2,43.2,F,0,0,2
STD0016,STA308,2022/2023,2,58.8,C,3,1,3
STD0017,STA105,2019/2020,2,62.5,B,4,1,3
STD0017,STA100,2019/2020,2,67.3,B,4,1,3
STD0017,STA103,2019/2020,1,50.2,C,3,1,2
STD0017,STA106,2019/2020,2,87.9,A,5,1,2
STD0017,STA107,2019/2020,2,46.2,D,2,1,2
STD0017,STA109,2019/2020,1,45.5,D,2,1,3
STD0017,STA209,2020/2021,1,41.9,F,0,0,3
STD0017,STA207,2020/2021,1,53.2,C,3,1,2
STD0017,STA102,2020/2021,1,51.1,C,3,1,3
STD0017,STA201,2020/2021,1,48.5,D,2,1,3
STD0017,STA206,2020/2021,1,65.8,B,4,1,2
STD0017,STA204,2020/2021,2,50.3,C,3,1,2
